Endpoint,Data Arrival Time (ns),Data Required Time (ns),Slack (ns)
odata_1[11],0.078,1.88,1.802
odata_4[5],0.078,1.88,1.802
odata_2[8],0.078,1.88,1.802
odata_1[12],0.078,1.88,1.802
odata_2[7],0.078,1.88,1.802
odata_4[2],0.078,1.88,1.802
odata_0[28],0.078,1.88,1.802
odata_4[16],0.078,1.88,1.802
odata_2[29],0.078,1.88,1.802
odata_2[30],0.078,1.88,1.802
odata_2[1],0.078,1.88,1.802
odata_3[7],0.078,1.88,1.802
odata_1[6],0.078,1.88,1.802
odata_4[15],0.078,1.88,1.802
odata_4[17],0.078,1.88,1.802
odata_2[6],0.078,1.88,1.802
odata_1[9],0.078,1.88,1.802
odata_1[30],0.078,1.88,1.802
odata_3[1],0.078,1.88,1.802
odata_2[31],0.078,1.88,1.802
odata_4[3],0.078,1.88,1.802
odata_4[18],0.078,1.88,1.802
odata_3[2],0.078,1.88,1.802
odata_1[23],0.078,1.88,1.802
odata_1[33],0.078,1.88,1.802
odata_2[5],0.078,1.88,1.802
odata_2[12],0.078,1.88,1.802
odata_4[25],0.078,1.88,1.802
odata_3[10],0.078,1.88,1.802
odata_4[26],0.078,1.88,1.802
odata_4[4],0.078,1.88,1.802
odata_4[6],0.078,1.88,1.802
odata_4[21],0.078,1.88,1.802
odata_2[33],0.078,1.88,1.802
odata_2[32],0.078,1.88,1.802
odata_2[23],0.078,1.88,1.802
odata_4[20],0.078,1.88,1.802
odata_2[16],0.078,1.88,1.802
odata_3[6],0.078,1.88,1.802
odata_3[4],0.078,1.88,1.802
odata_4[24],0.078,1.88,1.802
odata_3[5],0.078,1.88,1.802
odata_1[32],0.078,1.88,1.802
odata_2[19],0.078,1.88,1.802
odata_1[29],0.078,1.88,1.802
odata_2[17],0.078,1.88,1.802
odata_2[22],0.078,1.88,1.802
odata_2[34],0.078,1.88,1.802
odata_2[18],0.078,1.88,1.802
