Startpoint,Data_Arrival_Time,Data_Required_Time,Slack,Status,Port_Name,Port_Delay,Library_Setup_Time
axis_in_tid[0],0.123,1.945,1.821,MET,,,-0.035
axis_in_tid[0],0.123,1.945,1.821,MET,,,-0.035
axis_in_tid[0],0.123,1.945,1.822,MET,,,-0.035
axis_in_tlast[4],0.123,1.945,1.822,MET,,,-0.035
axis_in_tlast[4],0.123,1.945,1.822,MET,,,-0.035
axis_in_tlast[4],0.123,1.945,1.822,MET,,,-0.035
axis_in_tlast[4],0.122,1.945,1.822,MET,,,-0.035
axis_in_tdest[1],0.122,1.945,1.823,MET,,,-0.035
axis_in_tdest[3],0.122,1.945,1.823,MET,,,-0.035
axis_in_tdest[3],0.122,1.945,1.823,MET,,,-0.035
axis_in_tdest[1],0.122,1.945,1.823,MET,,,-0.035
axis_in_tdest[1],0.122,1.945,1.823,MET,,,-0.035
axis_in_tdest[3],0.122,1.945,1.823,MET,,,-0.035
axis_in_tdest[2],0.122,1.945,1.823,MET,,,-0.035
axis_in_tid[1],0.122,1.945,1.823,MET,,,-0.035
axis_in_tdest[2],0.122,1.945,1.823,MET,,,-0.035
axis_in_tid[1],0.122,1.945,1.823,MET,,,-0.035
axis_in_tdest[2],0.122,1.945,1.823,MET,,,-0.035
axis_in_tdest[1],0.122,1.945,1.823,MET,,,-0.035
axis_in_tid[1],0.121,1.945,1.823,MET,,,-0.035
axis_in_tdest[3],0.122,1.946,1.823,MET,,,-0.034
axis_in_tid[1],0.121,1.945,1.824,MET,,,-0.035
axis_in_tdest[2],0.122,1.946,1.824,MET,,,-0.034
axis_in_tid[8],0.121,1.945,1.824,MET,,,-0.035
axis_in_tid[8],0.121,1.945,1.824,MET,,,-0.035
axis_in_tid[8],0.121,1.945,1.824,MET,,,-0.035
axis_in_tid[8],0.121,1.945,1.824,MET,,,-0.035
axis_in_tdest[18],0.121,1.945,1.824,MET,,,-0.035
axis_in_tdest[18],0.121,1.945,1.824,MET,,,-0.035
axis_in_tdest[18],0.121,1.945,1.824,MET,,,-0.035
axis_in_tdest[17],0.121,1.945,1.825,MET,,,-0.035
axis_in_tdest[17],0.121,1.945,1.825,MET,,,-0.035
axis_in_tid[9],0.121,1.945,1.825,MET,,,-0.035
axis_in_tdest[19],0.121,1.945,1.825,MET,,,-0.035
axis_in_tdest[18],0.12,1.945,1.825,MET,,,-0.035
axis_in_tid[9],0.12,1.945,1.825,MET,,,-0.035
axis_in_tdest[19],0.12,1.945,1.825,MET,,,-0.035
axis_in_tid[9],0.12,1.945,1.825,MET,,,-0.035
axis_in_tdest[17],0.12,1.945,1.825,MET,,,-0.035
axis_in_tdest[17],0.12,1.945,1.825,MET,,,-0.035
axis_in_tid[9],0.12,1.945,1.825,MET,,,-0.035
axis_in_tdest[19],0.12,1.945,1.825,MET,,,-0.035
axis_in_tdest[19],0.12,1.945,1.825,MET,,,-0.035
axis_in_tlast[0],0.12,1.945,1.825,MET,,,-0.035
axis_in_tlast[0],0.12,1.945,1.825,MET,,,-0.035
axis_in_tlast[0],0.12,1.945,1.825,MET,,,-0.035
axis_in_tlast[0],0.12,1.945,1.825,MET,,,-0.035
axis_in_tdest[16],0.119,1.945,1.826,MET,,,-0.035
axis_in_tdest[16],0.119,1.945,1.826,MET,,,-0.035
axis_in_tdest[16],0.119,1.945,1.826,MET,,,-0.035
axis_in_tdest[16],0.119,1.945,1.826,MET,,,-0.035
axis_in_tid[7],0.119,1.946,1.827,MET,,,-0.034
axis_in_tlast[1],0.119,1.946,1.827,MET,,,-0.034
axis_in_tid[7],0.119,1.946,1.827,MET,,,-0.034
axis_in_tlast[1],0.119,1.946,1.827,MET,,,-0.034
axis_in_tlast[1],0.119,1.946,1.827,MET,,,-0.034
axis_in_tid[7],0.118,1.946,1.827,MET,,,-0.034
axis_in_tlast[1],0.118,1.946,1.827,MET,,,-0.034
axis_in_tdest[8],0.118,1.946,1.827,MET,,,-0.034
axis_in_tdest[8],0.118,1.946,1.827,MET,,,-0.034
axis_in_tdest[8],0.118,1.946,1.827,MET,,,-0.034
axis_in_tdest[8],0.118,1.946,1.828,MET,,,-0.034
axis_in_tid[7],0.119,1.946,1.828,MET,,,-0.034
axis_in_tdest[13],0.118,1.946,1.828,MET,,,-0.034
axis_in_tdest[13],0.109,1.938,1.828,MET,,,-0.042
axis_in_tdest[13],0.118,1.946,1.828,MET,,,-0.034
axis_in_tdest[13],0.118,1.946,1.828,MET,,,-0.034
axis_in_tdest[15],0.118,1.946,1.828,MET,,,-0.034
axis_in_tdest[15],0.118,1.946,1.828,MET,,,-0.034
axis_in_tdest[12],0.109,1.938,1.828,MET,,,-0.042
axis_in_tdest[15],0.117,1.946,1.828,MET,,,-0.034
axis_in_tid[6],0.117,1.946,1.828,MET,,,-0.034
axis_in_tdest[12],0.117,1.946,1.828,MET,,,-0.034
axis_in_tdest[14],0.109,1.938,1.829,MET,,,-0.042
axis_in_tid[6],0.117,1.946,1.829,MET,,,-0.034
axis_in_tdest[12],0.117,1.946,1.829,MET,,,-0.034
axis_in_tlast[2],0.117,1.946,1.829,MET,,,-0.034
axis_in_tlast[2],0.117,1.946,1.829,MET,,,-0.034
axis_in_tid[6],0.117,1.946,1.829,MET,,,-0.034
axis_in_tdest[12],0.117,1.946,1.829,MET,,,-0.034
axis_in_tlast[2],0.117,1.946,1.829,MET,,,-0.034
axis_in_tid[5],0.117,1.946,1.829,MET,,,-0.034
axis_in_tid[5],0.117,1.946,1.829,MET,,,-0.034
axis_in_tdest[14],0.117,1.946,1.829,MET,,,-0.034
axis_in_tdest[14],0.117,1.946,1.829,MET,,,-0.034
axis_in_tid[5],0.117,1.946,1.829,MET,,,-0.034
axis_in_tdest[15],0.109,1.938,1.829,MET,,,-0.042
axis_in_tdest[14],0.117,1.946,1.829,MET,,,-0.034
axis_in_tlast[2],0.117,1.946,1.829,MET,,,-0.034
axis_in_tid[5],0.117,1.946,1.829,MET,,,-0.034
axis_in_tid[6],0.109,1.938,1.829,MET,,,-0.042
axis_in_tid[4],0.116,1.946,1.83,MET,,,-0.034
axis_in_tid[4],0.116,1.946,1.83,MET,,,-0.034
axis_in_tdest[11],0.116,1.946,1.83,MET,,,-0.034
axis_in_tdest[11],0.116,1.946,1.83,MET,,,-0.034
axis_in_tid[4],0.116,1.946,1.83,MET,,,-0.034
axis_in_tdest[11],0.116,1.946,1.83,MET,,,-0.034
axis_in_tdest[11],0.116,1.946,1.83,MET,,,-0.034
axis_in_tdest[9],0.116,1.946,1.83,MET,,,-0.034
axis_in_tdest[9],0.116,1.946,1.83,MET,,,-0.034
axis_in_tid[4],0.116,1.946,1.83,MET,,,-0.034
axis_in_tdest[10],0.116,1.946,1.83,MET,,,-0.034
axis_in_tdest[10],0.116,1.946,1.83,MET,,,-0.034
axis_in_tdest[9],0.116,1.946,1.83,MET,,,-0.034
axis_in_tdest[10],0.116,1.946,1.83,MET,,,-0.034
axis_in_tdest[9],0.116,1.946,1.831,MET,,,-0.034
axis_in_tdest[10],0.116,1.946,1.831,MET,,,-0.034
axis_in_tdest[0],0.107,1.938,1.831,MET,,,-0.042
axis_in_tdata[130],0.107,1.938,1.831,MET,axis_in_tdata[130],0.006,-0.042
axis_in_tdata[133],0.115,1.947,1.832,MET,axis_in_tdata[133],0.013,-0.033
axis_in_tdata[133],0.115,1.947,1.832,MET,axis_in_tdata[133],0.013,-0.033
axis_in_tdata[132],0.107,1.939,1.832,MET,axis_in_tdata[132],0.006,-0.041
axis_in_tdata[129],0.106,1.939,1.832,MET,axis_in_tdata[129],0.005,-0.041
axis_in_tdata[133],0.114,1.947,1.832,MET,axis_in_tdata[133],0.013,-0.033
axis_in_tdata[133],0.114,1.947,1.832,MET,axis_in_tdata[133],0.013,-0.033
axis_in_tdest[4],0.106,1.939,1.832,MET,,,-0.041
axis_in_tdata[116],0.106,1.939,1.832,MET,axis_in_tdata[116],0.006,-0.041
axis_in_tdata[130],0.114,1.947,1.833,MET,axis_in_tdata[130],0.013,-0.033
axis_in_tdest[7],0.106,1.939,1.833,MET,,,-0.041
axis_in_tdata[130],0.114,1.947,1.833,MET,axis_in_tdata[130],0.013,-0.033
axis_in_tdata[131],0.114,1.947,1.833,MET,axis_in_tdata[131],0.013,-0.033
axis_in_tdata[131],0.114,1.947,1.833,MET,axis_in_tdata[131],0.013,-0.033
axis_in_tdata[130],0.114,1.947,1.833,MET,axis_in_tdata[130],0.013,-0.033
axis_in_tdata[59],0.106,1.939,1.833,MET,axis_in_tdata[59],0.005,-0.041
axis_in_tdest[0],0.114,1.947,1.833,MET,,,-0.033
axis_in_tdest[0],0.114,1.947,1.833,MET,,,-0.033
axis_in_tdata[121],0.106,1.939,1.833,MET,axis_in_tdata[121],0.005,-0.041
axis_in_tdest[0],0.114,1.947,1.833,MET,,,-0.033
axis_in_tdata[131],0.114,1.947,1.833,MET,axis_in_tdata[131],0.013,-0.033
axis_in_tdata[60],0.106,1.939,1.833,MET,axis_in_tdata[60],0.005,-0.041
axis_in_tdata[131],0.114,1.947,1.833,MET,axis_in_tdata[131],0.013,-0.033
axis_in_tdest[5],0.106,1.939,1.833,MET,,,-0.041
