Endpoint,Startpoint,Data Arrival Time (ns),Data Required Time (ns),Slack (ns),Status,Path Cells,Cell Types
odata_1[1],rtr_wrap/oc_1/odata_reg_1_,0.081,1.88,1.799,MET,2,SDFF_X1
odata_1[3],rtr_wrap/oc_1/odata_reg_3_,0.081,1.88,1.799,MET,2,SDFF_X1
odata_0[34],rtr_wrap/oc_0/odata_reg_34_,0.081,1.88,1.799,MET,2,SDFF_X1
odata_1[8],rtr_wrap/oc_1/odata_reg_8_,0.081,1.88,1.799,MET,2,SDFF_X1
odata_3[29],rtr_wrap/oc_3/odata_reg_29_,0.081,1.88,1.799,MET,2,SDFF_X1
odata_3[15],rtr_wrap/oc_3/odata_reg_15_,0.081,1.88,1.799,MET,2,SDFF_X1
odata_1[2],rtr_wrap/oc_1/odata_reg_2_,0.081,1.88,1.799,MET,2,SDFF_X1
odata_0[33],rtr_wrap/oc_0/odata_reg_33_,0.081,1.88,1.799,MET,2,SDFF_X1
odata_0[24],rtr_wrap/oc_0/odata_reg_24_,0.081,1.88,1.799,MET,2,SDFF_X1
odata_4[27],rtr_wrap/oc_4/odata_reg_27_,0.081,1.88,1.799,MET,2,SDFF_X1
odata_3[18],rtr_wrap/oc_3/odata_reg_18_,0.081,1.88,1.799,MET,2,SDFF_X1
odata_0[18],rtr_wrap/oc_0/odata_reg_18_,0.081,1.88,1.799,MET,2,SDFF_X1
odata_1[21],rtr_wrap/oc_1/odata_reg_21_,0.081,1.88,1.799,MET,2,SDFF_X1
odata_3[23],rtr_wrap/oc_3/odata_reg_23_,0.081,1.88,1.799,MET,2,SDFF_X1
odata_0[25],rtr_wrap/oc_0/odata_reg_25_,0.081,1.88,1.799,MET,2,SDFF_X1
odata_3[17],rtr_wrap/oc_3/odata_reg_17_,0.081,1.88,1.799,MET,2,SDFF_X1
odata_3[22],rtr_wrap/oc_3/odata_reg_22_,0.081,1.88,1.799,MET,2,SDFF_X1
odata_0[31],rtr_wrap/oc_0/odata_reg_31_,0.081,1.88,1.799,MET,2,SDFF_X1
odata_3[28],rtr_wrap/oc_3/odata_reg_28_,0.081,1.88,1.799,MET,2,SDFF_X1
odata_1[4],rtr_wrap/oc_1/odata_reg_4_,0.081,1.88,1.799,MET,2,SDFF_X1
odata_0[32],rtr_wrap/oc_0/odata_reg_32_,0.081,1.88,1.799,MET,2,SDFF_X1
odata_0[3],rtr_wrap/oc_0/odata_reg_3_,0.081,1.88,1.799,MET,2,SDFF_X1
odata_1[16],rtr_wrap/oc_1/odata_reg_16_,0.08,1.88,1.8,MET,2,SDFF_X1
odata_1[0],rtr_wrap/oc_1/odata_reg_0_,0.08,1.88,1.8,MET,2,SDFF_X1
odata_4[29],rtr_wrap/oc_4/odata_reg_29_,0.08,1.88,1.8,MET,2,SDFF_X1
odata_3[13],rtr_wrap/oc_3/odata_reg_13_,0.08,1.88,1.8,MET,2,SDFF_X1
odata_3[33],rtr_wrap/oc_3/odata_reg_33_,0.08,1.88,1.8,MET,2,SDFF_X1
odata_3[12],rtr_wrap/oc_3/odata_reg_12_,0.08,1.88,1.8,MET,2,SDFF_X1
