Endpoint,Startpoint,Data Arrival Time (ns),Data Required Time (ns),Slack (ns),Status,Path Cells,Cell Types
axis_out_tdata[143],for_outputs_0__shim_out/cross_clock_gen_shim_inst/single_factor_data_gen_data_buffer/dcfifo_component/q_reg_reg_15_,0.101,1.88,1.779,MET,2,SDFFR_X1
axis_out_tdata[144],for_outputs_0__shim_out/cross_clock_gen_shim_inst/single_factor_data_gen_data_buffer/dcfifo_component/q_reg_reg_16_,0.101,1.88,1.779,MET,2,SDFFR_X1
axis_out_tdata[136],for_outputs_0__shim_out/cross_clock_gen_shim_inst/single_factor_data_gen_data_buffer/dcfifo_component/q_reg_reg_8_,0.101,1.88,1.779,MET,2,SDFFR_X1
axis_out_tdata[134],for_outputs_0__shim_out/cross_clock_gen_shim_inst/single_factor_data_gen_data_buffer/dcfifo_component/q_reg_reg_6_,0.101,1.88,1.779,MET,2,SDFFR_X1
axis_out_tdata[129],for_outputs_0__shim_out/cross_clock_gen_shim_inst/single_factor_data_gen_data_buffer/dcfifo_component/q_reg_reg_1_,0.101,1.88,1.779,MET,2,SDFFR_X1
axis_out_tdata[156],for_outputs_0__shim_out/cross_clock_gen_shim_inst/single_factor_data_gen_data_buffer/dcfifo_component/q_reg_reg_28_,0.1,1.88,1.78,MET,2,SDFFR_X1
axis_out_tdata[130],for_outputs_0__shim_out/cross_clock_gen_shim_inst/single_factor_data_gen_data_buffer/dcfifo_component/q_reg_reg_2_,0.1,1.88,1.78,MET,2,SDFFR_X1
axis_out_tdata[148],for_outputs_0__shim_out/cross_clock_gen_shim_inst/single_factor_data_gen_data_buffer/dcfifo_component/q_reg_reg_20_,0.1,1.88,1.78,MET,2,SDFFR_X1
axis_out_tdata[151],for_outputs_0__shim_out/cross_clock_gen_shim_inst/single_factor_data_gen_data_buffer/dcfifo_component/q_reg_reg_23_,0.1,1.88,1.78,MET,2,SDFFR_X1
axis_out_tdata[138],for_outputs_0__shim_out/cross_clock_gen_shim_inst/single_factor_data_gen_data_buffer/dcfifo_component/q_reg_reg_10_,0.1,1.88,1.78,MET,2,SDFFR_X1
axis_out_tdata[133],for_outputs_0__shim_out/cross_clock_gen_shim_inst/single_factor_data_gen_data_buffer/dcfifo_component/q_reg_reg_5_,0.099,1.88,1.781,MET,2,SDFFR_X1
axis_out_tdata[145],for_outputs_0__shim_out/cross_clock_gen_shim_inst/single_factor_data_gen_data_buffer/dcfifo_component/q_reg_reg_17_,0.099,1.88,1.781,MET,2,SDFFR_X1
axis_out_tdata[146],for_outputs_0__shim_out/cross_clock_gen_shim_inst/single_factor_data_gen_data_buffer/dcfifo_component/q_reg_reg_18_,0.099,1.88,1.781,MET,2,SDFFR_X1
axis_out_tdata[149],for_outputs_0__shim_out/cross_clock_gen_shim_inst/single_factor_data_gen_data_buffer/dcfifo_component/q_reg_reg_21_,0.099,1.88,1.781,MET,2,SDFFR_X1
axis_out_tdata[128],for_outputs_0__shim_out/cross_clock_gen_shim_inst/single_factor_data_gen_data_buffer/dcfifo_component/q_reg_reg_0_,0.098,1.88,1.782,MET,2,SDFFR_X1
axis_out_tdest[19],for_outputs_0__shim_out/cross_clock_gen_shim_inst/dest_buffer/dcfifo_component/q_reg_reg_4_,0.092,1.88,1.788,MET,2,SDFFR_X1
axis_out_tdest[18],for_outputs_0__shim_out/cross_clock_gen_shim_inst/dest_buffer/dcfifo_component/q_reg_reg_3_,0.091,1.88,1.789,MET,2,SDFFR_X1
axis_out_tdest[16],for_outputs_0__shim_out/cross_clock_gen_shim_inst/dest_buffer/dcfifo_component/q_reg_reg_1_,0.091,1.88,1.789,MET,2,SDFFR_X1
axis_out_tdest[17],for_outputs_0__shim_out/cross_clock_gen_shim_inst/dest_buffer/dcfifo_component/q_reg_reg_2_,0.09,1.88,1.79,MET,2,SDFFR_X1
axis_out_tid[8],for_outputs_0__shim_out/cross_clock_gen_shim_inst/dest_buffer/dcfifo_component/q_reg_reg_5_,0.089,1.88,1.791,MET,2,SDFFR_X1
axis_out_tlast[0],for_outputs_0__shim_out/cross_clock_gen_shim_inst/dest_buffer/dcfifo_component/q_reg_reg_0_,0.088,1.88,1.792,MET,2,SDFFR_X1
axis_out_tid[9],for_outputs_0__shim_out/cross_clock_gen_shim_inst/dest_buffer/dcfifo_component/q_reg_reg_6_,0.088,1.88,1.792,MET,2,SDFFR_X1
